RegistrationNum,RentalHousingUnits,RegisteredDate,ExpiresDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip
001-0123536,1,8/5/16,8/5/21,Active,2909 S ATLANTIC ST,SEATTLE,WA,98144
001-0115729,1,1/4/16,1/4/21,Active,1021 6TH AVE N,SEATTLE,WA,98109
001-0112254,1,9/30/15,9/30/20,Active,14319 DENSMORE AVE N,SEATTLE,WA,98133
001-0125122,1,9/8/16,9/8/21,Active,7409 32ND AVE NW,SEATTLE,WA,98117
001-0115877,1,1/28/16,1/28/21,Active,8345 39TH AVE S,SEATTLE,WA,98118
001-0109052,1,7/28/15,7/28/20,Active,9520 (#505) RAINIER AVE S,SEATTLE,WA,98118
001-0118827,2,3/24/16,3/24/21,Active,1107 M L KING JR WAY S,SEATTLE,WA,98144
001-0108611,1,7/4/15,7/4/20,Active,619 Unit 301 5TH AVE W,SEATTLE,WA,98119
001-0126475,1,11/3/16,11/3/21,Active,7502 19TH AVE NW,SEATTLE,WA,98117
001-0129494,1,12/29/16,12/29/21,Active,3052 38TH AVE SW,SEATTLE,WA,98126
001-0130397,1,1/19/17,1/19/22,Active,2621 2ND AVE,SEATTLE,WA,98121
001-0112058,1,9/30/15,9/30/20,Active,400 MELROSE AVE E,SEATTLE,WA,98102
001-0119451,1,3/31/16,3/31/21,Active,3306 E DENNY WAY,SEATTLE,WA,98122
001-0131469,1,4/25/17,4/25/22,Active,2561 E MADISON ST,SEATTLE,WA,98112
001-0131919,1,7/6/17,7/6/22,Active,2019 NE 80TH ST,SEATTLE,WA,98115
001-0128227,2,11/21/16,11/21/21,Active,1232 NE 95TH ST,SEATTLE,WA,98115
001-0123220,1,6/29/16,6/29/21,Active,3846 ASHWORTH AVE N,SEATTLE,WA,98103
001-0118089,1,3/12/16,3/12/21,Active,3118 S FRONTENAC ST,SEATTLE,WA,98108
001-0119537,1,3/31/16,3/31/21,Active,162 18TH AVE,SEATTLE,WA,98122
001-0119679,1,4/14/16,4/14/21,Active,2953 S GRAHAM ST,SEATTLE,WA,98108
001-0127868,1,10/31/16,10/31/21,Active,4411 NE 60TH ST,SEATTLE,WA,98115
001-0130605,1,1/20/17,1/20/22,Active,121 VINE ST,SEATTLE,WA,98121
001-0113949,1,12/5/15,12/5/20,Active,1514 25TH AVE,SEATTLE,WA,98122
001-0125915,1,9/13/16,9/13/21,Active,1109 N ALLEN PL,SEATTLE,WA,98103
001-0120903,1,5/21/16,5/21/21,Active,4504 A FREMONT AVE N,SEATTLE,WA,98103
001-0131791,1,6/14/17,6/14/22,Active,1727 41ST AVE SW,SEATTLE,WA,98116
001-0123550,1,7/7/16,7/7/21,Active,403 N 92ND ST,SEATTLE,WA,98103
001-0128659,1,12/7/16,12/7/21,Active,7532 BROOKLYN AVE NE,SEATTLE,WA,98115
001-0127412,3,10/21/16,10/21/21,Active,4506 S BOND ST,SEATTLE,WA,98118
001-0117853,1,3/8/16,3/8/21,Active,6810 B OSWEGO PL NE,SEATTLE,WA,98115
001-0115480,3,12/30/15,12/30/20,Active,2852 NW 64TH ST,SEATTLE,WA,98107
001-0116541,5,2/3/16,2/3/21,Active,1823 25TH AVE,SEATTLE,WA,98122
001-0122950,6,6/28/16,6/28/21,Active,1431 NW 65TH ST,SEATTLE,WA,98117
001-0134275,4,7/16/18,7/16/23,Active,9203 16TH AVE SW,SEATTLE,WA,98106
001-0123712,1,7/6/16,7/6/21,Active,812 5TH AVE N,SEATTLE,WA,98109
001-0121180,1,6/10/16,6/10/21,Active,4571 21ST AVE SW,SEATTLE,WA,98106
001-0128465,1,11/29/16,11/29/21,Active,1709 NE 86TH ST,SEATTLE,WA,98115
001-0129920,1,1/3/17,1/3/22,Active,10360 51ST AVE S,SEATTLE,WA,98178
001-0124906,1,8/24/16,8/24/21,Active,9550 WATERS AVE S,SEATTLE,WA,98118
001-0111469,1,9/25/15,9/25/20,Active,4831 FAUNTLEROY WAY SW,SEATTLE,WA,98116
001-0114062,1,12/9/15,12/9/20,Active,2647 NW 63RD ST,SEATTLE,WA,98107
001-0116350,1,1/22/16,1/22/21,Active,2112 S STATE ST,SEATTLE,WA,98144
001-0119798,1,8/4/16,8/4/21,Active,7556 34TH AVE NE,SEATTLE,WA,98115
001-0122436,1,6/22/16,6/22/21,Active,9243 COLLEGE WAY N,SEATTLE,WA,98103
001-0121379,2,6/6/16,6/6/21,Active,302 18TH AVE E,SEATTLE,WA,98112
001-0132220,1,8/14/17,8/14/22,Active,583 Battery ST,,,
001-0123475,3,8/19/16,8/19/21,Active,1011 N 41ST ST,SEATTLE,WA,98103
001-0116440,1,1/26/16,1/26/21,Active,13210 3RD AVE NW,SEATTLE,WA,98177
001-0132538,1,10/6/17,10/6/22,Active,4200 11th AVE NE,,,
001-0118012,1,4/7/16,4/7/21,Active,2608 S MORGAN ST,SEATTLE,WA,98108
001-0120528,1,5/11/16,5/11/21,Active,1140 A N 93RD ST,SEATTLE,WA,98103
001-0120781,1,5/20/16,5/20/21,Active,8550 STONE AVE N,SEATTLE,WA,98103
001-0129632,1,12/27/16,12/27/21,Active,425 VINE ST,SEATTLE,WA,98121
001-0115157,1,12/25/15,12/25/20,Active,1816 5TH AVE N,SEATTLE,WA,98109
001-0123404,8,6/30/16,6/30/21,Active,906 14TH AVE E,SEATTLE,WA,98112
001-0117691,1,3/7/16,3/7/21,Active,1111 15TH AVE,SEATTLE,WA,98122
001-0129475,1,12/28/16,12/28/21,Active,4820 NE 74TH ST,SEATTLE,WA,98115
001-0119930,1,4/18/16,4/18/21,Active,507 M L KING JR WAY,SEATTLE,WA,98122
001-0129351,1,12/20/16,12/20/21,Active,6246 52ND AVE NE,SEATTLE,WA,98115
001-0120207,1,5/5/16,5/5/21,Active,1545 SHENANDOAH DR E,SEATTLE,WA,98112
001-0133538,1,5/23/18,5/23/23,Active,1711 E Olive WAY,,,
001-0127512,1,10/25/16,10/25/21,Active,4234 S ROSE ST,SEATTLE,WA,98118
001-0134116,1,6/16/18,6/16/23,Active,3318 30TH AVE SW,SEATTLE,WA,98126
001-0133664,1,4/6/18,4/6/23,Active,7114 A CALIFORNIA AVE SW,SEATTLE,WA,98136
001-0129491,1,12/28/16,12/28/21,Active,300 N 130TH ST,SEATTLE,WA,98133
001-0134136,1,6/18/18,6/18/23,Active,1745 NW 61ST ST,SEATTLE,WA,98107
001-0131095,1,3/11/17,3/11/22,Active,3000 S PORTLAND ST,SEATTLE,WA,98108
001-0112704,1,12/28/15,12/28/20,Active,4315 52ND AVE NE,SEATTLE,WA,98105
001-0120142,1,5/3/16,5/3/21,Active,7517 A AURORA AVE N,SEATTLE,WA,98103
001-0112589,1,10/27/15,10/27/20,Active,4001 46TH AVE SW,SEATTLE,WA,98116
001-0132091,1,9/12/17,9/12/22,Active,2649 NW 56TH ST,SEATTLE,WA,98107
001-0116243,1,1/16/16,1/16/21,Active,407 35TH AVE S,SEATTLE,WA,98144
001-0116929,1,2/16/16,2/16/21,Active,10763 EXETER AVE NE,SEATTLE,WA,98125
001-0119627,1,4/2/16,4/2/21,Active,13630 4TH AVE NE,SEATTLE,WA,98125
001-0126594,1,9/26/16,9/26/21,Active,3800 41ST AVE S,SEATTLE,WA,98118
001-0121660,1,6/13/16,6/13/21,Active,417 31ST AVE E,SEATTLE,WA,98112
001-0119733,2,4/8/16,4/8/21,Active,538 29TH AVE,SEATTLE,WA,98122
001-0131385,2,4/14/17,4/14/22,Active,13734 RIVIERA PL NE,SEATTLE,WA,98125
001-0111243,1,10/5/15,10/5/20,Active,4225 S BATEMAN ST,SEATTLE,WA,98118
001-0123058,1,8/19/16,8/19/21,Active,2419 E MADISON ST,SEATTLE,WA,98112
001-0116647,1,2/5/16,2/5/21,Active,2001 E YESLER WAY,SEATTLE,WA,98122
001-0122558,1,7/1/16,7/1/21,Active,9708 PALATINE AVE N,SEATTLE,WA,98103
001-0110626,1,9/11/15,9/11/20,Active,1315 N 145TH ST,SEATTLE,WA,98133
001-0125514,1,9/5/16,9/5/21,Active,3615 A ALBION PL N,SEATTLE,WA,98103
001-0130387,1,1/19/17,1/19/22,Active,11225 WOODLEY AVE S,SEATTLE,WA,98178
001-0133845,1,5/8/18,5/8/23,Active,2922 NW ESPLANADE,SEATTLE,WA,98117
001-0119870,1,4/12/16,4/12/21,Active,105 VALLEY ST,SEATTLE,WA,98109
001-0113131,1,12/15/15,12/15/20,Active,65 A ETRURIA ST,SEATTLE,WA,98109
001-0130854,1,2/11/17,2/11/22,Active,1816 A 11TH AVE,SEATTLE,WA,98122
001-0129068,1,12/16/16,12/16/21,Active,8010 28TH AVE NE,SEATTLE,WA,98115
001-0121666,1,6/13/16,6/13/21,Active,5956 41ST AVE SW,SEATTLE,WA,98136
001-0112147,1,9/30/15,9/30/20,Active,13332 BAGLEY AVE N,SEATTLE,WA,98133
001-0124625,1,8/15/16,8/15/21,Active,9312 39TH AVE S,SEATTLE,WA,98118
001-0129247,1,12/21/16,12/21/21,Active,9520 1ST AVE NE,SEATTLE,WA,98115
001-0133656,1,4/4/18,4/4/23,Active,1525 NW 57TH ST,SEATTLE,WA,98107
001-0112055,1,10/1/15,10/1/20,Active,2307 WALNUT AVE SW,SEATTLE,WA,98116
001-0118434,1,3/18/16,3/18/21,Active,11328 SAND POINT WAY NE,SEATTLE,WA,98125
001-0109074,1,7/30/15,7/30/20,Active,1709 #301 18TH AVE,SEATTLE,WA,98122
001-0117575,1,3/3/16,3/3/21,Active,2101 14TH AVE S,SEATTLE,WA,98144
001-0128101,1,11/12/16,11/12/21,Active,1516 NW 80TH ST,SEATTLE,WA,98117
001-0110178,1,9/4/15,9/4/20,Active,2817 BOYER AVE E,SEATTLE,WA,98102
001-0131527,1,5/19/17,5/19/22,Active,229 33RD AVE E,SEATTLE,WA,98112
001-0120121,1,5/3/16,5/3/21,Active,8530 WALLINGFORD AVE N,SEATTLE,WA,98103
001-0101204,44,9/22/14,9/22/19,Active,5033 37TH AVE S,SEATTLE,WA,98118
001-0110646,2,9/12/15,9/12/20,Active,911 N 105TH ST,SEATTLE,WA,98133
001-0117580,1,3/8/16,3/8/21,Active,2603 E UNION ST,SEATTLE,WA,98122
001-0131920,1,6/30/17,6/30/22,Active,9243 PALATINE AVE N,SEATTLE,WA,98103
001-0112526,1,10/8/15,10/8/20,Active,1403 SW CAMBRIDGE ST,SEATTLE,WA,98106
001-0122065,1,6/17/16,6/17/21,Active,8033 SUNNYSIDE AVE N,SEATTLE,WA,98103
001-0112335,2,10/19/15,10/19/20,Active,2155 52ND AVE SW,SEATTLE,WA,98116
001-0114609,1,1/6/16,1/6/21,Active,2420 S LANE ST,SEATTLE,WA,98144
001-0118366,1,3/17/16,3/17/21,Active,1112 24TH AVE,SEATTLE,WA,98122
001-0124747,1,8/22/16,8/22/21,Active,5026 M L KING JR WAY S,SEATTLE,WA,98118
001-0110842,1,9/15/15,9/15/20,Active,11239 GREENWOOD AVE N,SEATTLE,WA,98133
001-0124896,4,9/7/16,9/7/21,Active,2347 FEDERAL AVE E,SEATTLE,WA,98102
001-0124049,2,8/2/16,8/2/21,Active,6215 30TH AVE NW,SEATTLE,WA,98107
001-0124823,1,8/17/16,8/17/21,Active,9316 56TH AVE S,SEATTLE,WA,98118
001-0124626,1,8/15/16,8/15/21,Active,9505 3RD AVE NW,SEATTLE,WA,98117
001-0110787,1,9/14/15,9/14/20,Active,4831 FAUNTLEROY WAY SW,SEATTLE,WA,98116
001-0120013,1,4/25/16,4/25/21,Active,935 B N 98TH ST,SEATTLE,WA,98103
001-0132685,1,10/28/17,10/28/22,Active,1417 QUEEN ANNE AVE N,SEATTLE,WA,98109
001-0129051,1,12/13/16,12/13/21,Active,2316 NE 86TH ST,SEATTLE,WA,98115
001-0123301,2,7/8/16,7/8/21,Active,1027 HARBOR AVE SW,SEATTLE,WA,98116
001-0125403,1,9/2/16,9/2/21,Active,3010 SW AVALON WAY,SEATTLE,WA,98126
001-0110790,1,9/14/15,9/14/20,Active,13506 CORLISS AVE N,SEATTLE,WA,98133
001-0111076,4,9/19/15,9/19/20,Active,14352 LENORA PL N,SEATTLE,WA,98133
001-0130024,1,1/5/17,1/5/22,Active,8105 23RD CT NE,SEATTLE,WA,98115
001-0121844,1,6/13/16,6/13/21,Active,8922 41ST AVE SW,SEATTLE,WA,98136
001-0112572,1,10/24/15,10/24/20,Active,11532 CORLISS AVE N,SEATTLE,WA,98133
001-0121945,1,6/14/16,6/14/21,Active,5614 A FAUNTLEROY WAY SW,SEATTLE,WA,98136
001-0132586,1,10/11/17,10/11/22,Active,4443 39TH AVE S,SEATTLE,WA,98118
001-0130911,1,2/16/17,2/16/22,Active,1423 NEWPORT WAY,SEATTLE,WA,98122
001-0130579,1,1/18/17,1/18/22,Active,8359 A 28TH AVE NW,SEATTLE,WA,98117
001-0121002,1,5/27/16,5/27/21,Active,424 MALDEN AVE E,SEATTLE,WA,98112
001-0111712,1,9/28/15,9/28/20,Active,3023 B 60TH AVE SW,SEATTLE,WA,98116
001-0126964,1,9/30/16,9/30/21,Active,3237 S CHICAGO ST,SEATTLE,WA,98118
001-0128625,1,12/4/16,12/4/21,Active,827 A NE 66TH ST,SEATTLE,WA,98115
001-0125415,1,9/2/16,9/2/21,Active,2904 NW 80TH ST,SEATTLE,WA,98117
001-0121425,2,6/7/16,6/7/21,Active,926 N 102ND ST,SEATTLE,WA,98133
001-0116356,1,1/22/16,1/22/21,Active,1533 Unit 3 18TH AVE S,SEATTLE,WA,98144
001-0124077,1,7/18/16,7/18/21,Active,4137 SW PORTLAND ST,SEATTLE,WA,98136
001-0131326,1,4/5/17,4/5/22,Active,4214 WILLIAMS AVE W,SEATTLE,WA,98199
001-0127603,2,10/24/16,10/24/21,Active,9030 SEWARD PARK AVE S,SEATTLE,WA,98118
001-0122965,1,7/1/16,7/1/21,Active,4216 FREMONT AVE N,SEATTLE,WA,98103
001-0120576,1,8/4/16,8/4/21,Active,11751 23RD AVE NE,SEATTLE,WA,98125
001-0110380,1,9/8/15,9/8/20,Active,6221 SW ADMIRAL WAY,SEATTLE,WA,98116
001-0114933,1,12/23/15,12/23/20,Active,2209 NW 60TH ST,SEATTLE,WA,98107
001-0121288,1,6/2/16,6/2/21,Active,1544 15TH AVE E,SEATTLE,WA,98112
001-0115285,2,12/28/15,12/28/20,Active,504 25TH AVE S,SEATTLE,WA,98144
001-0119700,1,4/5/16,4/5/21,Active,900 SUMMIT AVE E,SEATTLE,WA,98102
001-0124575,1,8/11/16,8/11/21,Active,7541 27TH AVE NW,SEATTLE,WA,98117
001-0123561,1,7/1/16,7/1/21,Active,5906 KIRKWOOD PL N,SEATTLE,WA,98103
001-0118088,4,3/12/16,3/12/21,Active,172 16TH AVE,SEATTLE,WA,98122
001-0125988,1,9/14/16,9/14/21,Active,2801 E COLUMBIA ST,SEATTLE,WA,98122
001-0124100,1,7/18/16,7/18/21,Active,1601 E BOSTON TER,SEATTLE,WA,98112
001-0115594,1,12/31/15,12/31/20,Active,11534 EVANSTON AVE N,SEATTLE,WA,98133
001-0118282,2,3/17/16,3/17/21,Active,12018 SAND POINT WAY NE,SEATTLE,WA,98125
001-0127709,42,10/20/16,10/20/21,Active,2651 NW 56TH ST,SEATTLE,WA,98107
001-0129481,1,12/28/16,12/28/21,Active,858 A NE 91ST ST,SEATTLE,WA,98115
001-0124566,1,8/15/16,8/15/21,Active,2169 N 92ND ST,SEATTLE,WA,98103
001-0133746,1,4/17/18,4/17/23,Active,3610 36TH AVE S,SEATTLE,WA,98144
001-0123184,2,6/29/16,6/29/21,Active,4401 PHINNEY AVE N,SEATTLE,WA,98103
001-0131633,1,5/18/17,5/18/22,Active,334 LAKESIDE AVE S,SEATTLE,WA,98144
001-0110185,1,9/4/15,9/4/20,Active,8751 palatine AVE N,SEATTLE,WA,98103
001-0125709,2,9/15/16,9/15/21,Active,9537 ASHWORTH AVE N,SEATTLE,WA,98103
001-0133823,1,5/2/18,5/2/23,Active,2325 N 65th ST,,,
001-0129644,1,12/29/16,12/29/21,Active,66 BELL ST,SEATTLE,WA,98121
001-0113640,3,11/27/15,11/27/20,Active,3835 19TH AVE SW,SEATTLE,WA,98106
001-0128869,1,2/7/17,2/7/22,Active,3506 NE 92ND ST,SEATTLE,WA,98115
001-0115034,1,12/23/15,12/23/20,Active,925 23RD AVE S,SEATTLE,WA,98144
001-0112294,1,10/13/15,10/13/20,Active,908 E THOMAS ST,SEATTLE,WA,98102
001-0134279,112,7/16/18,7/16/23,Active,423 Terry AVE,,,
001-0121736,1,6/12/16,6/12/21,Active,6547 #101 42ND AVE SW,SEATTLE,WA,98136
001-0125589,4,9/13/16,9/13/21,Active,2234 YALE AVE E,SEATTLE,WA,98102
001-0120199,1,5/5/16,5/5/21,Active,302 N 47TH ST,SEATTLE,WA,98103
001-0107502,1,6/24/15,6/24/20,Active,2416 F SW HOLDEN ST,SEATTLE,WA,98106
001-0120766,1,5/19/16,5/19/21,Active,100 W HIGHLAND DR,SEATTLE,WA,98119
001-0130654,4,1/25/17,1/25/22,Active,4725 38th AVE S,SEATTLE,WA,98118
001-0126275,1,9/20/16,9/20/21,Active,7061 16TH AVE SW,SEATTLE,WA,98106
001-0104530,5,3/23/15,3/23/20,Active,3206 S Ferdinand ST,SEATTLE,WA,98118
001-0118666,1,3/22/16,3/22/21,Active,11503 BARTLETT AVE NE,SEATTLE,WA,98125
001-0125978,1,9/14/16,9/14/21,Active,5003 S GENESEE ST,SEATTLE,WA,98118
001-0112142,1,9/30/15,9/30/20,Active,4045 42ND AVE SW,SEATTLE,WA,98116
001-0113871,1,12/3/15,12/3/20,Active,1113 23RD AVE S,SEATTLE,WA,98144
001-0122531,2,8/5/16,8/5/21,Active,1150 N 90TH ST,SEATTLE,WA,98103
001-0113478,2,12/22/15,12/22/20,Active,3710 27TH PL W,SEATTLE,WA,98199
001-0112508,1,10/8/15,10/8/20,Active,1108 29TH AVE S,SEATTLE,WA,98144
001-0127943,1,10/16/17,11/3/21,Active,9613 A ROOSEVELT WAY NE,SEATTLE,WA,98115
001-0125841,1,9/12/16,9/12/21,Active,4437 39TH AVE S,SEATTLE,WA,98118
001-0124745,1,8/22/16,8/22/21,Active,8339 13TH AVE NW,SEATTLE,WA,98117
001-0129743,1,12/30/16,12/30/21,Active,4343 ROOSEVELT WAY NE,SEATTLE,WA,98105
001-0127022,1,9/30/16,9/30/21,Active,4733 49TH AVE S,SEATTLE,WA,98118
001-0114452,1,12/29/15,12/29/20,Active,3015 36TH AVE W,SEATTLE,WA,98199
001-0128796,1,12/8/16,12/8/21,Active,2540 NE 96TH ST,SEATTLE,WA,98115
001-0113219,1,11/13/15,11/13/20,Active,3601 24TH AVE W,SEATTLE,WA,98199
001-0125469,1,9/4/16,9/4/21,Active,4017 36TH AVE SW,SEATTLE,WA,98126
001-0132233,1,8/15/17,8/15/22,Active,2100 3rd Avenue,,,
001-0130509,1,1/20/17,1/20/22,Active,7015 37TH AVE NE,SEATTLE,WA,98115
001-0116985,1,2/15/16,2/15/21,Active,1312 N 95TH ST,SEATTLE,WA,98103
001-0132037,2,7/19/17,7/19/22,Active,9234 INTERLAKE AVE N,SEATTLE,WA,98103
001-0116980,1,2/15/16,2/15/21,Active,2 FULTON ST,SEATTLE,WA,98109
001-0112645,1,11/2/15,11/2/20,Active,2809 BOYER AVE E,SEATTLE,WA,98102
001-0116368,1,1/23/16,1/23/21,Active,1102 HIAWATHA PL S,SEATTLE,WA,98144
001-0114474,1,12/14/15,12/14/20,Active,6058 SEAVIEW AVE NW,SEATTLE,WA,98107
001-0112867,1,11/5/15,11/5/20,Active,4257 33RD AVE W,SEATTLE,WA,98199
001-0112102,1,10/1/15,10/1/20,Active,11501 NORTH PARK AVE N,SEATTLE,WA,98133
001-0112884,1,11/10/15,11/10/20,Active,14052 COURTLAND PL N,SEATTLE,WA,98133
001-0111246,1,10/3/15,10/3/20,Active,2300 YALE AVE E,SEATTLE,WA,98102
001-0118360,2,3/16/16,3/16/21,Active,11326 34TH AVE NE,SEATTLE,WA,98125
001-0128323,1,11/28/16,11/28/21,Active,818 NE 88TH ST,SEATTLE,WA,98115
001-0128686,1,2/9/17,2/9/22,Active,1200 BOYLSTON AVE,SEATTLE,WA,98101
001-0123554,2,8/18/16,8/18/21,Active,5045 FAUNTLEROY WAY SW,SEATTLE,WA,98136
001-0132199,2,8/9/17,8/9/22,Active,1400 HUBBELL PL,SEATTLE,WA,98101
001-0119174,1,3/29/16,3/29/21,Active,1114 29TH AVE,SEATTLE,WA,98122
001-0133978,1,5/25/18,5/25/23,Active,517 B 25TH AVE S,SEATTLE,WA,98144
001-0126252,1,9/27/16,9/27/21,Active,5111 S MAYFLOWER ST,SEATTLE,WA,98118
001-0133287,1,2/5/18,2/5/23,Active,7312 LINDEN AVE N,SEATTLE,WA,98103
001-0110907,1,9/17/15,9/17/20,Active,2911 FAIRMOUNT AVE SW,SEATTLE,WA,98116
001-0123119,1,6/29/16,6/29/21,Active,11032 12TH AVE SW,SEATTLE,WA,98146
001-0111142,6,10/5/15,10/5/20,Active,809 NOB HILL AVE N,SEATTLE,WA,98109
001-0112732,1,10/29/15,10/29/20,Active,6707 PHINNEY AVE N,SEATTLE,WA,98103
001-0121275,1,6/20/16,6/20/21,Active,1206 LEXINGTON WAY E,SEATTLE,WA,98112
001-0110894,1,9/16/15,9/16/20,Active,327 N 138TH ST,SEATTLE,WA,98133
001-0131401,2,4/15/17,4/15/22,Active,12016 BARTLETT AVE NE,SEATTLE,WA,98125
001-0123516,1,8/8/16,8/8/21,Active,9400 35TH AVE SW,SEATTLE,WA,98126
001-0110543,1,9/17/15,9/17/20,Active,2204 11TH AVE E,SEATTLE,WA,98102
001-0110958,1,9/30/15,9/30/20,Active,14301 MERIDIAN AVE N,SEATTLE,WA,98133
001-0131317,1,4/5/17,4/5/22,Active,4116 203 CALIFORNIA AVE SW,SEATTLE,WA,98116
001-0127959,1,11/4/16,11/4/21,Active,8602 23RD AVE NE,SEATTLE,WA,98115
001-0129671,1,12/30/16,12/30/21,Active,8029 CREST DR NE,SEATTLE,WA,98115
001-0128696,1,2/9/17,2/9/22,Active,1616 41ST AVE E,SEATTLE,WA,98112
001-0124156,1,7/21/16,7/21/21,Active,11532 15TH AVE NE,SEATTLE,WA,98125
001-0116624,1,2/4/16,2/4/21,Active,1121 30TH AVE S,SEATTLE,WA,98144
001-0123142,1,7/21/16,7/21/21,Active,8019 Ashworth AVE N,SEATTLE,WA,98103
001-0133218,1,1/25/18,1/25/23,Active,2607 WESTERN AVE,SEATTLE,WA,98121
001-0112283,1,10/8/15,10/8/20,Active,416 N 130TH ST,SEATTLE,WA,98133
001-0120354,1,5/9/16,5/9/21,Active,5016 KEYSTONE PL N,SEATTLE,WA,98103
001-0121570,4,6/9/16,6/9/21,Active,8815 STONE AVE N,SEATTLE,WA,98103
001-0121024,1,5/26/16,5/26/21,Active,6006 SEAVIEW AVE NW,SEATTLE,WA,98107
001-0121731,1,6/12/16,6/12/21,Active,3637 A WALLINGFORD AVE N,SEATTLE,WA,98103
001-0115718,1,12/31/15,12/31/20,Active,3516 32ND AVE W,SEATTLE,WA,98199
001-0118572,3,3/20/16,3/20/21,Active,1535 32ND AVE,SEATTLE,WA,98122
001-0125145,1,8/24/16,8/24/21,Active,7749 14TH AVE NW,SEATTLE,WA,98117
001-0119683,1,4/4/16,4/4/21,Active,9222 12TH AVE SW,SEATTLE,WA,98106
001-0120910,2,5/23/16,5/23/21,Active,3661 ASHWORTH AVE N,SEATTLE,WA,98103
001-0120347,1,5/9/16,5/9/21,Active,4133 MERIDIAN AVE N,SEATTLE,WA,98103
001-0123927,3,11/14/16,11/14/21,Active,1526 NW 62ND ST,SEATTLE,WA,98107
001-0129691,1,12/29/16,12/29/21,Active,7001 SAND POINT WAY NE,SEATTLE,WA,98115
001-0124271,3,7/27/16,7/27/21,Active,4220 A EVANSTON AVE N,SEATTLE,WA,98103
001-0112186,2,10/1/15,10/1/20,Active,4608 NE 54th ST,SEATTLE,WA,98105
001-0118300,1,3/21/16,3/21/21,Active,12515 26TH AVE NE,SEATTLE,WA,98125
001-0119404,1,3/31/16,3/31/21,Active,815 13TH AVE,SEATTLE,WA,98122
001-0123224,1,6/30/16,6/30/21,Active,6721 23RD AVE SW,SEATTLE,WA,98106
001-0121481,1,6/8/16,6/8/21,Active,1112 41ST AVE E,SEATTLE,WA,98112
001-0111095,1,9/20/15,9/20/20,Active,4026 BEACH DR SW,SEATTLE,WA,98116
001-0133254,1,1/31/18,1/31/23,Active,5514 SW CAMPBELL PL,SEATTLE,WA,98116
001-0133578,1,3/22/18,3/22/23,Active,4800 FAUNTLEROY WAY SW,SEATTLE,WA,98116
001-0129538,2,12/23/16,12/23/21,Active,5230 S ROSE ST,SEATTLE,WA,98118
001-0116202,1,1/14/16,1/14/21,Active,1700 BELLEVUE AVE,SEATTLE,WA,98122
001-0120945,1,5/25/16,5/25/21,Active,3740 E JOHN ST,SEATTLE,WA,98112
001-0126665,1,9/27/16,9/27/21,Active,3538 SW ROSE ST,SEATTLE,WA,98126
001-0133833,2,5/14/18,5/14/23,Active,4915 Lake Washington BLVD S,SEATTLE,WA,
001-0129749,3,12/30/16,12/30/21,Active,6515 23RD AVE NE,SEATTLE,WA,98115
001-0114130,2,12/9/15,12/9/20,Active,3024 26TH AVE W,SEATTLE,WA,98199
001-0123602,1,7/5/16,7/5/21,Active,222 NW 49TH ST,SEATTLE,WA,98107
001-0117064,1,2/17/16,2/17/21,Active,1707 BOYLSTON AVE,SEATTLE,WA,98122
001-0122865,2,7/6/16,7/6/21,Active,4023 EASTERN AVE N,SEATTLE,WA,98103
001-0115545,1,12/30/15,12/30/20,Active,4250 33RD AVE W,SEATTLE,WA,98199
001-0119766,1,4/18/16,4/18/21,Active,11303 15TH AVE NE,SEATTLE,WA,98125
001-0129088,1,12/19/16,12/19/21,Active,8822 5TH AVE NE,SEATTLE,WA,98115
001-0111759,1,9/28/15,9/28/20,Active,14059 DENSMORE AVE N,SEATTLE,WA,98133
001-0129866,1,1/6/17,1/6/22,Active,6837 44TH PL NE,SEATTLE,WA,98115
001-0131983,1,7/11/17,7/11/22,Active,5002 13TH AVE S,SEATTLE,WA,98108
001-0129407,1,12/27/16,12/27/21,Active,8211 22ND AVE NE,SEATTLE,WA,98115
001-0111425,1,9/24/15,9/24/20,Active,1326 LAKEVIEW BLVD E,SEATTLE,WA,98102
001-0116261,1,1/18/16,1/18/21,Active,1620 BELMONT AVE,SEATTLE,WA,98122
001-0110599,1,10/8/15,10/8/20,Active,3031 GARLOUGH AVE SW,SEATTLE,WA,98116
001-0133356,2,2/15/18,2/15/23,Active,134 NW 39TH ST,SEATTLE,WA,98107
001-0130111,1,1/7/17,1/7/22,Active,8916 20TH AVE NE,SEATTLE,WA,98115
001-0125277,1,8/29/16,8/29/21,Active,9354 FOREST CT SW,SEATTLE,WA,98136
001-0123505,1,7/11/16,7/11/21,Active,4523 49TH AVE SW,SEATTLE,WA,98116
001-0121413,2,6/6/16,6/6/21,Active,735 B N 94TH ST,SEATTLE,WA,98103
001-0106609,2,6/10/15,6/10/20,Active,5419 MERIDIAN AVE N,SEATTLE,WA,98103
001-0110713,1,9/14/15,9/14/20,Active,2655 46TH AVE SW,SEATTLE,WA,98116
001-0122381,1,6/22/16,6/22/21,Active,3728 S ANGELINE ST,SEATTLE,WA,98118
001-0118189,1,4/8/16,4/8/21,Active,2521 NE 107TH ST,SEATTLE,WA,98125
001-0115368,1,12/29/15,12/29/20,Active,340 NW 51ST ST,SEATTLE,WA,98107
001-0124073,1,7/18/16,7/18/21,Active,159 12TH AVE,SEATTLE,WA,98122
